track_name,artists,track_number,song_id,added_time,popularity,duration_ms,genres,extracted_at
Miss You,"Oliver Tree, Robin Schulz",1,73vIOb4Q7YN6HeJTbscRx5,2022-11-16T12:50:17Z,92,206000,"dance pop, deep euro house, deep house, edm, german dance, pop, pop dance, tropical house",25:41.7
I Ain't Worried,OneRepublic,1,4h9wh7iOZ0GGn8QVp4RAOB,2022-11-16T12:50:17Z,95,148485,"piano rock, pop",25:41.7
Hey Mor,"Ozuna, Feid",9,1zsPaEkglFvxjAhrM8yhpr,2022-11-16T12:50:17Z,87,196600,"colombian pop, pop reggaeton, reggaeton colombiano, trap latino",25:41.7
Tití Me Preguntó,Bad Bunny,4,1IHWl5LamUGEuP4ozKQSXZ,2022-11-16T12:50:17Z,95,243716,"reggaeton, trap latino",25:41.7
Bad Habit,Steve Lacy,5,4k6Uh1HXdhtusDW5y8Gbvy,2022-11-16T12:50:17Z,88,232066,afrofuturism,25:41.7
Made You Look,Meghan Trainor,2,0QHEIqNKsMoOY5urbzN48u,2022-11-16T12:50:17Z,89,134256,"dance pop, hip pop, pop, post-teen pop, uk pop",25:41.7
Lift Me Up,Rihanna,1,6sCvvleqKbeyOkQDieBYgp,2022-11-16T12:50:17Z,66,196520,"barbadian pop, dance pop, pop, urban contemporary",25:41.7
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",4,1wtOxkiel43cVs0Yux5Q4h,2022-11-16T12:50:17Z,91,256124,"art pop, pop",25:41.7
"You're On Your Own, Kid",Taylor Swift,5,4D7BCuvgdJlYvlX5WlN54t,2022-11-16T12:50:17Z,89,194206,pop,25:41.7
Maroon,Taylor Swift,2,3eX0NZfLtGzoLUxPNvRfqm,2022-11-16T12:50:17Z,90,218270,pop,25:41.7
Efecto,Bad Bunny,10,5Eax0qFko2dh7Rl2lYs3bx,2022-11-16T12:50:17Z,94,213061,"reggaeton, trap latino",25:41.7
Die For You,Joji,3,26hOm7dTtBi0TdpDGl141t,2022-11-16T12:50:17Z,87,211666,viral pop,25:41.7
DESPECHÁ,ROSALÍA,17,53tfEupEzQRtVFOeZvk7xq,2022-11-16T12:50:17Z,85,156787,r&b en espanol,25:41.7
Karma,Taylor Swift,11,7KokYm8cMIXCsGVmUvKtqf,2022-11-16T12:50:17Z,89,204852,pop,25:41.7
Glimpse of Us,Joji,1,4ewazQLXFTDC8XvCbhvtXs,2022-11-16T12:50:17Z,79,233456,viral pop,25:41.7
Until I Found You,Stephen Sanchez,7,6VhuP99TE6gYNQRJIlAWFD,2022-11-16T12:50:17Z,82,176666,"gen z singer-songwriter, pop",25:41.7
Romantic Homicide,d4vd,1,1xK59OXxi2TAAAbmZK0kBL,2022-11-16T12:50:17Z,93,132630,bedroom pop,25:41.7
Bejeweled,Taylor Swift,9,3qoftcUZaUOncvIYjFSPdE,2022-11-16T12:50:17Z,88,194165,pop,25:41.7
Die For You,The Weeknd,17,2LBqCSwhJGcFQeTHMVGwy3,2022-11-16T12:50:17Z,87,260253,"canadian contemporary r&b, canadian pop, pop",25:41.7
I Wanna Be Yours,Arctic Monkeys,12,5XeFesFbtLpXzIVDNQP22n,2022-11-16T12:50:17Z,92,183956,"garage rock, modern rock, permanent wave, rock, sheffield indie",25:41.7
Calm Down (with Selena Gomez),"Rema, Selena Gomez",1,0WtM2NBVQNNJLh6scP13H8,2022-11-16T12:50:17Z,92,239317,"dance pop, pop, post-teen pop",25:41.7
CUFF IT,Beyoncé,4,1xzi1Jcr7mEi9K2RfzLOqS,2022-11-16T12:50:17Z,93,225388,"dance pop, pop, r&b",25:41.7
Ojitos Lindos,"Bad Bunny, Bomba Estéreo",14,3k3NWokhRRkEPhCzPmV8TW,2022-11-16T12:50:17Z,93,258298,"cumbia, latin alternative, pop electronico, tropical alternativo",25:41.7
Sweater Weather,The Neighbourhood,4,2QjOHCTQ1Jl3zawyYOpxh6,2022-11-16T12:50:17Z,92,240400,"modern alternative rock, modern rock, pop, shimmer pop",25:41.7
SNAP,Rosa Linn,5,6zJejIfVYLgjud3lTk4DLB,2022-11-16T12:50:17Z,65,179551,alt z,25:41.7
golden hour,JVKE,3,5odlY52u43F5BjByhxg7wg,2022-11-16T12:50:17Z,87,209259,"modern indie pop, pop",25:41.7
Monotonía,"Shakira, Ozuna",1,6G12ZafqofSq7YtrMqUm76,2022-11-16T12:50:17Z,91,158804,"puerto rican pop, reggaeton, trap latino",25:41.7
Major Distribution,"Drake, 21 Savage",2,46s57QULU02Voy0Kup6UEb,2022-11-16T12:50:17Z,90,170501,"atl hip hop, rap",25:41.7
Pussy & Millions (feat. Travis Scott),"Drake, 21 Savage, Travis Scott",10,2KLwPaRDOB87XOYAT2fgxh,2022-11-16T12:50:17Z,89,242026,"rap, slap house",25:41.7
Mockingbird,Eminem,16,561jH07mF1jHuk7KlaeF0s,2022-11-16T12:50:17Z,88,250760,"detroit hip hop, hip hop, rap",25:41.7
Feliz Cumpleaños Ferxxo,Feid,3,2CeKVsFFXG4QzA415QygGb,2022-11-16T12:50:17Z,85,155960,"colombian pop, pop reggaeton, reggaeton colombiano, trap latino",25:41.7
Vigilante Shit,Taylor Swift,8,1xwAWUI6Dj0WGC3KiUPN0O,2022-11-16T12:50:17Z,88,164801,pop,25:41.7
Heat Waves,Glass Animals,14,02MWAaffLxlfxAUY7c5dvx,2022-11-16T12:50:17Z,86,238805,"gauze pop, indietronica, shiver pop",25:41.7
Bones,Imagine Dragons,1,54ipXppHLA8U4yqpOFTUhr,2022-11-16T12:50:17Z,85,165264,"modern rock, rock",25:41.7
STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",3,5PjdY0CKGZdEuoNab3yDmX,2022-11-16T12:50:17Z,85,141805,"canadian pop, pop",25:41.7
Question...?,Taylor Swift,7,0heeNYlwOGuUSe7TgUD27B,2022-11-16T12:50:17Z,88,210556,pop,25:41.7
Neverita,Bad Bunny,8,31i56LZnwE6uSu3exoHjtB,2022-11-16T12:50:17Z,91,173119,"reggaeton, trap latino",25:41.7
On BS,"Drake, 21 Savage",3,34tz0eDhGuFErIuW3q4mPX,2022-11-16T12:50:17Z,88,261543,"atl hip hop, rap",25:41.7
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",1,3nqQXoyQOWXiESFLlDF1hG,2022-11-17T11:14:17Z,100,156943,"dance pop, pop, post-teen pop, transpop",33:04.4
Anti-Hero,Taylor Swift,3,0V3wPSX9ygBnCm8psDIegu,2022-11-17T11:14:17Z,97,200690,pop,33:04.4
Rich Flex,"Drake, 21 Savage",1,1bDbXMyjaUIooNwFE9wn0N,2022-11-17T11:14:17Z,93,239359,"atl hip hop, rap",33:04.4
La Bachata,Manuel Turizo,1,5ww2BF9slyYgNOk37BlC4u,2022-11-17T11:14:17Z,97,162637,"colombian pop, latin pop, reggaeton, reggaeton colombiano, trap latino",33:04.4
I'm Good (Blue),"David Guetta, Bebe Rexha",1,4uUG5RXrOk84mYEfFvj3cK,2022-11-17T11:14:17Z,97,175238,"dance pop, edm, pop, post-teen pop",33:04.4
As It Was,Harry Styles,4,4Dvkj6JhhA12EX05fT7y2e,2022-11-17T11:14:17Z,91,167303,pop,33:04.4
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",1,2tTmW7RDtMQtBk7m2rYeSw,2022-11-17T11:14:17Z,97,198937,"rap canario, trap latino",33:04.4
Under The Influence,Chris Brown,3,5IgjP7X4th6nMNDh4akUHb,2022-11-17T11:14:17Z,95,184613,"dance pop, pop, r&b",33:04.4
Midnight Rain,Taylor Swift,6,3rWDp9tBPQR9z6U5YyRSK4,2022-11-17T11:14:17Z,91,174782,pop,33:04.4
Me Porto Bonito,"Bad Bunny, Chencho Corleone",3,6Sq7ltF9Qa7SNFBsV5Cogx,2022-11-17T11:14:17Z,95,178567,reggaeton flow,33:04.4
Miss You,"Oliver Tree, Robin Schulz",1,73vIOb4Q7YN6HeJTbscRx5,2022-11-17T11:14:17Z,93,206000,"dance pop, deep euro house, deep house, edm, german dance, pop, pop dance, tropical house",33:04.4
Lavender Haze,Taylor Swift,1,5jQI2r1RdgtuT8S3iG8zFC,2022-11-17T11:14:17Z,92,202395,pop,33:04.4
Another Love,Tom Odell,3,7jtQIBanIiJOMS6RyCx6jZ,2022-11-17T11:14:17Z,66,244360,"chill pop, pop",33:04.4
I Ain't Worried,OneRepublic,1,4h9wh7iOZ0GGn8QVp4RAOB,2022-11-17T11:14:17Z,95,148485,"piano rock, pop",33:04.4
Hey Mor,"Ozuna, Feid",9,1zsPaEkglFvxjAhrM8yhpr,2022-11-17T11:14:17Z,87,196600,"colombian pop, pop reggaeton, reggaeton colombiano, trap latino",33:04.4
Tití Me Preguntó,Bad Bunny,4,1IHWl5LamUGEuP4ozKQSXZ,2022-11-17T11:14:17Z,95,243716,"reggaeton, trap latino",33:04.4
Bad Habit,Steve Lacy,5,4k6Uh1HXdhtusDW5y8Gbvy,2022-11-17T11:14:17Z,88,232066,afrofuturism,33:04.4
Made You Look,Meghan Trainor,2,0QHEIqNKsMoOY5urbzN48u,2022-11-17T11:14:17Z,90,134256,"dance pop, hip pop, pop, post-teen pop, uk pop",33:04.4
Efecto,Bad Bunny,10,5Eax0qFko2dh7Rl2lYs3bx,2022-11-17T11:14:17Z,94,213061,"reggaeton, trap latino",33:04.4
Lift Me Up,Rihanna,1,6sCvvleqKbeyOkQDieBYgp,2022-11-17T11:14:17Z,68,196520,"barbadian pop, dance pop, pop, urban contemporary",33:04.4
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",4,1wtOxkiel43cVs0Yux5Q4h,2022-11-17T11:14:17Z,91,256124,"art pop, pop",33:04.4
"You're On Your Own, Kid",Taylor Swift,5,4D7BCuvgdJlYvlX5WlN54t,2022-11-17T11:14:17Z,89,194206,pop,33:04.4
DESPECHÁ,ROSALÍA,17,53tfEupEzQRtVFOeZvk7xq,2022-11-17T11:14:17Z,85,156787,r&b en espanol,33:04.4
golden hour,JVKE,3,5odlY52u43F5BjByhxg7wg,2022-11-17T11:14:17Z,87,209259,"modern indie pop, pop",33:04.4
Maroon,Taylor Swift,2,3eX0NZfLtGzoLUxPNvRfqm,2022-11-17T11:14:17Z,90,218270,pop,33:04.4
Romantic Homicide,d4vd,1,1xK59OXxi2TAAAbmZK0kBL,2022-11-17T11:14:17Z,93,132630,bedroom pop,33:04.4
Die For You,The Weeknd,17,2LBqCSwhJGcFQeTHMVGwy3,2022-11-17T11:14:17Z,87,260253,"canadian contemporary r&b, canadian pop, pop",33:04.4
Until I Found You,Stephen Sanchez,7,6VhuP99TE6gYNQRJIlAWFD,2022-11-17T11:14:17Z,83,176666,"gen z singer-songwriter, pop",33:04.4
CUFF IT,Beyoncé,4,1xzi1Jcr7mEi9K2RfzLOqS,2022-11-17T11:14:17Z,93,225388,"dance pop, pop, r&b",33:04.4
Glimpse of Us,Joji,1,4ewazQLXFTDC8XvCbhvtXs,2022-11-17T11:14:17Z,80,233456,viral pop,33:04.4
Die For You,Joji,3,26hOm7dTtBi0TdpDGl141t,2022-11-17T11:14:17Z,88,211666,viral pop,33:04.4
Karma,Taylor Swift,11,7KokYm8cMIXCsGVmUvKtqf,2022-11-17T11:14:17Z,89,204852,pop,33:04.4
Calm Down (with Selena Gomez),"Rema, Selena Gomez",1,0WtM2NBVQNNJLh6scP13H8,2022-11-17T11:14:17Z,92,239317,"dance pop, pop, post-teen pop",33:04.4
I Wanna Be Yours,Arctic Monkeys,12,5XeFesFbtLpXzIVDNQP22n,2022-11-17T11:14:17Z,92,183956,"garage rock, modern rock, permanent wave, rock, sheffield indie",33:04.4
Bejeweled,Taylor Swift,9,3qoftcUZaUOncvIYjFSPdE,2022-11-17T11:14:17Z,88,194165,pop,33:04.4
Ojitos Lindos,"Bad Bunny, Bomba Estéreo",14,3k3NWokhRRkEPhCzPmV8TW,2022-11-17T11:14:17Z,93,258298,"cumbia, latin alternative, pop electronico, tropical alternativo",33:04.4
SNAP,Rosa Linn,5,6zJejIfVYLgjud3lTk4DLB,2022-11-17T11:14:17Z,64,179551,alt z,33:04.4
Sweater Weather,The Neighbourhood,4,2QjOHCTQ1Jl3zawyYOpxh6,2022-11-17T11:14:17Z,92,240400,"modern alternative rock, modern rock, pop, shimmer pop",33:04.4
Monotonía,"Shakira, Ozuna",1,6G12ZafqofSq7YtrMqUm76,2022-11-17T11:14:17Z,91,158804,"puerto rican pop, reggaeton, trap latino",33:04.4
Mockingbird,Eminem,16,561jH07mF1jHuk7KlaeF0s,2022-11-17T11:14:17Z,88,250760,"detroit hip hop, hip hop, rap",33:04.4
Feliz Cumpleaños Ferxxo,Feid,3,2CeKVsFFXG4QzA415QygGb,2022-11-17T11:14:17Z,85,155960,"colombian pop, pop reggaeton, reggaeton colombiano, trap latino",33:04.4
Major Distribution,"Drake, 21 Savage",2,46s57QULU02Voy0Kup6UEb,2022-11-17T11:14:17Z,90,170501,"atl hip hop, rap",33:04.4
Pussy & Millions (feat. Travis Scott),"Drake, 21 Savage, Travis Scott",10,2KLwPaRDOB87XOYAT2fgxh,2022-11-17T11:14:17Z,90,242026,"rap, slap house",33:04.4
Heat Waves,Glass Animals,14,02MWAaffLxlfxAUY7c5dvx,2022-11-17T11:14:17Z,86,238805,"gauze pop, indietronica, shiver pop",33:04.4
Bones,Imagine Dragons,1,54ipXppHLA8U4yqpOFTUhr,2022-11-17T11:14:17Z,85,165264,"modern rock, rock",33:04.4
Vigilante Shit,Taylor Swift,8,1xwAWUI6Dj0WGC3KiUPN0O,2022-11-17T11:14:17Z,88,164801,pop,33:04.4
Neverita,Bad Bunny,8,31i56LZnwE6uSu3exoHjtB,2022-11-17T11:14:17Z,91,173119,"reggaeton, trap latino",33:04.4
STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",3,5PjdY0CKGZdEuoNab3yDmX,2022-11-17T11:14:17Z,85,141805,"canadian pop, pop",33:04.4
All I Want for Christmas Is You,Mariah Carey,2,0bYg9bo50gSsH3LtXe2SQn,2022-11-17T11:14:17Z,85,241106,"dance pop, pop, urban contemporary",33:04.4
Question...?,Taylor Swift,7,0heeNYlwOGuUSe7TgUD27B,2022-11-17T11:14:17Z,87,210556,pop,33:04.4
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",1,3nqQXoyQOWXiESFLlDF1hG,2022-11-18T11:32:52Z,100,156943,"dance pop, pop, post-teen pop, transpop",08:59.1
Anti-Hero,Taylor Swift,3,0V3wPSX9ygBnCm8psDIegu,2022-11-18T11:32:52Z,97,200690,pop,08:59.1
"Duki: Bzrp Music Sessions, Vol. 50","Bizarrap, Duki",1,7MkylDYvKTSuWgrsBhHlsG,2022-11-18T11:32:52Z,64,221303,"argentine hip hop, trap argentino, trap latino, trap triste",08:59.1
Rich Flex,"Drake, 21 Savage",1,1bDbXMyjaUIooNwFE9wn0N,2022-11-18T11:32:52Z,93,239359,"atl hip hop, rap",08:59.1
La Bachata,Manuel Turizo,1,5ww2BF9slyYgNOk37BlC4u,2022-11-18T11:32:52Z,97,162637,"colombian pop, latin pop, reggaeton, reggaeton colombiano, trap latino",08:59.1
I'm Good (Blue),"David Guetta, Bebe Rexha",1,4uUG5RXrOk84mYEfFvj3cK,2022-11-18T11:32:52Z,97,175238,"dance pop, edm, pop, post-teen pop",08:59.1
As It Was,Harry Styles,4,4Dvkj6JhhA12EX05fT7y2e,2022-11-18T11:32:52Z,91,167303,pop,08:59.1
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",1,2tTmW7RDtMQtBk7m2rYeSw,2022-11-18T11:32:52Z,97,198937,"rap canario, trap latino",08:59.1
Under The Influence,Chris Brown,3,5IgjP7X4th6nMNDh4akUHb,2022-11-18T11:32:52Z,95,184613,"dance pop, pop, r&b",08:59.1
Me Porto Bonito,"Bad Bunny, Chencho Corleone",3,6Sq7ltF9Qa7SNFBsV5Cogx,2022-11-18T11:32:52Z,95,178567,reggaeton flow,08:59.1
Miss You,"Oliver Tree, Robin Schulz",1,73vIOb4Q7YN6HeJTbscRx5,2022-11-18T11:32:52Z,93,206000,"dance pop, deep euro house, deep house, edm, german dance, pop, pop dance, tropical house",08:59.1
Hey Mor,"Ozuna, Feid",9,1zsPaEkglFvxjAhrM8yhpr,2022-11-18T11:32:52Z,88,196600,"colombian pop, pop reggaeton, reggaeton colombiano, trap latino",08:59.1
Midnight Rain,Taylor Swift,6,3rWDp9tBPQR9z6U5YyRSK4,2022-11-18T11:32:52Z,91,174782,pop,08:59.1
I Ain't Worried,OneRepublic,1,4h9wh7iOZ0GGn8QVp4RAOB,2022-11-18T11:32:52Z,95,148485,"piano rock, pop",08:59.1
Another Love,Tom Odell,3,7jtQIBanIiJOMS6RyCx6jZ,2022-11-18T11:32:52Z,66,244360,"chill pop, pop",08:59.1
Lavender Haze,Taylor Swift,1,5jQI2r1RdgtuT8S3iG8zFC,2022-11-18T11:32:52Z,92,202395,pop,08:59.1
Tití Me Preguntó,Bad Bunny,4,1IHWl5LamUGEuP4ozKQSXZ,2022-11-18T11:32:52Z,95,243716,"reggaeton, trap latino",08:59.1
Made You Look,Meghan Trainor,2,0QHEIqNKsMoOY5urbzN48u,2022-11-18T11:32:52Z,90,134256,"dance pop, hip pop, pop, post-teen pop",08:59.1
Bad Habit,Steve Lacy,5,4k6Uh1HXdhtusDW5y8Gbvy,2022-11-18T11:32:52Z,88,232066,afrofuturism,08:59.1
Efecto,Bad Bunny,10,5Eax0qFko2dh7Rl2lYs3bx,2022-11-18T11:32:52Z,94,213061,"reggaeton, trap latino",08:59.1
DESPECHÁ,ROSALÍA,17,53tfEupEzQRtVFOeZvk7xq,2022-11-18T11:32:52Z,85,156787,r&b en espanol,08:59.1
golden hour,JVKE,3,5odlY52u43F5BjByhxg7wg,2022-11-18T11:32:52Z,87,209259,"modern indie pop, pop",08:59.1
Die For You,The Weeknd,17,2LBqCSwhJGcFQeTHMVGwy3,2022-11-18T11:32:52Z,87,260253,"canadian contemporary r&b, canadian pop, pop",08:59.1
Lift Me Up,Rihanna,1,6sCvvleqKbeyOkQDieBYgp,2022-11-18T11:32:52Z,68,196520,"barbadian pop, dance pop, pop, urban contemporary",08:59.1
Romantic Homicide,d4vd,1,1xK59OXxi2TAAAbmZK0kBL,2022-11-18T11:32:52Z,93,132630,bedroom pop,08:59.1
Until I Found You,Stephen Sanchez,7,6VhuP99TE6gYNQRJIlAWFD,2022-11-18T11:32:52Z,83,176666,"gen z singer-songwriter, pop",08:59.1
CUFF IT,Beyoncé,4,1xzi1Jcr7mEi9K2RfzLOqS,2022-11-18T11:32:52Z,93,225388,"dance pop, pop, r&b",08:59.1
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",4,1wtOxkiel43cVs0Yux5Q4h,2022-11-18T11:32:52Z,91,256124,"art pop, pop",08:59.1
"You're On Your Own, Kid",Taylor Swift,5,4D7BCuvgdJlYvlX5WlN54t,2022-11-18T11:32:52Z,89,194206,pop,08:59.1
Calm Down (with Selena Gomez),"Rema, Selena Gomez",1,0WtM2NBVQNNJLh6scP13H8,2022-11-18T11:32:52Z,92,239317,"dance pop, pop, post-teen pop",08:59.1
Ojitos Lindos,"Bad Bunny, Bomba Estéreo",14,3k3NWokhRRkEPhCzPmV8TW,2022-11-18T11:32:52Z,93,258298,"cumbia, latin alternative, pop electronico, tropical alternativo",08:59.1
Maroon,Taylor Swift,2,3eX0NZfLtGzoLUxPNvRfqm,2022-11-18T11:32:52Z,90,218270,pop,08:59.1
I Wanna Be Yours,Arctic Monkeys,12,5XeFesFbtLpXzIVDNQP22n,2022-11-18T11:32:52Z,92,183956,"garage rock, modern rock, permanent wave, rock, sheffield indie",08:59.1
Glimpse of Us,Joji,1,4ewazQLXFTDC8XvCbhvtXs,2022-11-18T11:32:52Z,81,233456,viral pop,08:59.1
Die For You,Joji,3,26hOm7dTtBi0TdpDGl141t,2022-11-18T11:32:52Z,88,211666,viral pop,08:59.1
SNAP,Rosa Linn,5,6zJejIfVYLgjud3lTk4DLB,2022-11-18T11:32:52Z,64,179551,alt z,08:59.1
Monotonía,"Shakira, Ozuna",1,6G12ZafqofSq7YtrMqUm76,2022-11-18T11:32:52Z,91,158804,"puerto rican pop, reggaeton, trap latino",08:59.1
Karma,Taylor Swift,11,7KokYm8cMIXCsGVmUvKtqf,2022-11-18T11:32:52Z,89,204852,pop,08:59.1
Bejeweled,Taylor Swift,9,3qoftcUZaUOncvIYjFSPdE,2022-11-18T11:32:52Z,88,194165,pop,08:59.1
Sweater Weather,The Neighbourhood,4,2QjOHCTQ1Jl3zawyYOpxh6,2022-11-18T11:32:52Z,92,240400,"modern alternative rock, modern rock, pop, shimmer pop",08:59.1
Mockingbird,Eminem,16,561jH07mF1jHuk7KlaeF0s,2022-11-18T11:32:52Z,88,250760,"detroit hip hop, hip hop, rap",08:59.1
Feliz Cumpleaños Ferxxo,Feid,3,2CeKVsFFXG4QzA415QygGb,2022-11-18T11:32:52Z,85,155960,"colombian pop, pop reggaeton, reggaeton colombiano, trap latino",08:59.1
Heat Waves,Glass Animals,14,02MWAaffLxlfxAUY7c5dvx,2022-11-18T11:32:52Z,86,238805,"gauze pop, indietronica, shiver pop",08:59.1
All I Want for Christmas Is You,Mariah Carey,2,0bYg9bo50gSsH3LtXe2SQn,2022-11-18T11:32:52Z,85,241106,"dance pop, pop, urban contemporary",08:59.1
Neverita,Bad Bunny,8,31i56LZnwE6uSu3exoHjtB,2022-11-18T11:32:52Z,91,173119,"reggaeton, trap latino",08:59.1
Pussy & Millions (feat. Travis Scott),"Drake, 21 Savage, Travis Scott",10,2KLwPaRDOB87XOYAT2fgxh,2022-11-18T11:32:52Z,90,242026,"rap, slap house",08:59.1
Bones,Imagine Dragons,1,54ipXppHLA8U4yqpOFTUhr,2022-11-18T11:32:52Z,85,165264,"modern rock, rock",08:59.1
Major Distribution,"Drake, 21 Savage",2,46s57QULU02Voy0Kup6UEb,2022-11-18T11:32:52Z,90,170501,"atl hip hop, rap",08:59.1
STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",3,5PjdY0CKGZdEuoNab3yDmX,2022-11-18T11:32:52Z,85,141805,"canadian pop, pop",08:59.1
Vigilante Shit,Taylor Swift,8,1xwAWUI6Dj0WGC3KiUPN0O,2022-11-18T11:32:52Z,88,164801,pop,08:59.1
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",1,3nqQXoyQOWXiESFLlDF1hG,2022-11-19T12:39:52Z,100,156943,"dance pop, pop, post-teen pop, transpop",42:05.0
Anti-Hero,Taylor Swift,3,0V3wPSX9ygBnCm8psDIegu,2022-11-19T12:39:52Z,97,200690,pop,42:05.0
Rich Flex,"Drake, 21 Savage",1,1bDbXMyjaUIooNwFE9wn0N,2022-11-19T12:39:52Z,94,239359,"atl hip hop, rap",42:05.0
La Bachata,Manuel Turizo,1,5ww2BF9slyYgNOk37BlC4u,2022-11-19T12:39:52Z,97,162637,"colombian pop, latin pop, reggaeton, reggaeton colombiano, trap latino",42:05.0
I'm Good (Blue),"David Guetta, Bebe Rexha",1,4uUG5RXrOk84mYEfFvj3cK,2022-11-19T12:39:52Z,97,175238,"dance pop, edm, pop, post-teen pop",42:05.0
"Duki: Bzrp Music Sessions, Vol. 50","Bizarrap, Duki",1,7MkylDYvKTSuWgrsBhHlsG,2022-11-19T12:39:52Z,78,221303,"argentine hip hop, trap argentino, trap latino, trap triste",42:05.0
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",1,2tTmW7RDtMQtBk7m2rYeSw,2022-11-19T12:39:52Z,97,198937,"rap canario, trap latino",42:05.0
As It Was,Harry Styles,4,4Dvkj6JhhA12EX05fT7y2e,2022-11-19T12:39:52Z,91,167303,pop,42:05.0
Me Porto Bonito,"Bad Bunny, Chencho Corleone",3,6Sq7ltF9Qa7SNFBsV5Cogx,2022-11-19T12:39:52Z,95,178567,reggaeton flow,42:05.0
Miss You,"Oliver Tree, Robin Schulz",1,73vIOb4Q7YN6HeJTbscRx5,2022-11-19T12:39:52Z,93,206000,"dance pop, deep euro house, deep house, edm, german dance, pop, pop dance, tropical house",42:05.0
Under The Influence,Chris Brown,3,5IgjP7X4th6nMNDh4akUHb,2022-11-19T12:39:52Z,95,184613,"dance pop, pop, r&b",42:05.0
Made You Look,Meghan Trainor,2,0QHEIqNKsMoOY5urbzN48u,2022-11-19T12:39:52Z,90,134256,"dance pop, hip pop, pop, post-teen pop",42:05.0
Hey Mor,"Ozuna, Feid",9,1zsPaEkglFvxjAhrM8yhpr,2022-11-19T12:39:52Z,88,196600,"colombian pop, pop reggaeton, reggaeton colombiano, trap latino",42:05.0
I Ain't Worried,OneRepublic,1,4h9wh7iOZ0GGn8QVp4RAOB,2022-11-19T12:39:52Z,95,148485,"piano rock, pop",42:05.0
Tití Me Preguntó,Bad Bunny,4,1IHWl5LamUGEuP4ozKQSXZ,2022-11-19T12:39:52Z,95,243716,"reggaeton, trap latino",42:05.0
Another Love,Tom Odell,3,7jtQIBanIiJOMS6RyCx6jZ,2022-11-19T12:39:52Z,66,244360,"chill pop, pop",42:05.0
Midnight Rain,Taylor Swift,6,3rWDp9tBPQR9z6U5YyRSK4,2022-11-19T12:39:52Z,91,174782,pop,42:05.0
Lavender Haze,Taylor Swift,1,5jQI2r1RdgtuT8S3iG8zFC,2022-11-19T12:39:52Z,92,202395,pop,42:05.0
DESPECHÁ,ROSALÍA,17,53tfEupEzQRtVFOeZvk7xq,2022-11-19T12:39:52Z,85,156787,r&b en espanol,42:05.0
Bad Habit,Steve Lacy,5,4k6Uh1HXdhtusDW5y8Gbvy,2022-11-19T12:39:52Z,88,232066,afrofuturism,42:05.0
